Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.80594156,34.50932609,65,NA
Guinea,0.175541868,0.402022749,0.450960371,0.508819332,0.542254181,0.637492123,0.780025279,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,18,NA
Guinea-Bissau,0.299569145,1.022993234,1.354197478,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,3.540706917,3.761413832,3.930509152,NA
Guyana,13.2069865,NA,NA,NA,NA,NA,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,37.32583679,NA
Haiti,0.340832326,0.893432988,1.647358346,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.23260161,12.32610358,32.47362713
Heavily indebted poor countries (HIPC),0.257960142675055,0.395941158352266,0.606432921357831,0.916881862418548,1.21438155175932,1.55836014885091,2.4290029547926,2.513451663131,3.12705313038932,4.7311833750084,5.33831655179815,6.6083266745473,8.07053546257681,10.4015257121335,14.6433552912965,15.3506984958695,19.3528385868905,NA
High income,36.54707644675,44.9670825220605,49.68604321526,54.8680003680704,58.5592926371308,61.2771314111559,66.6737116725514,68.7958884604579,70.0491781753649,72.1465137320951,72.7037280782078,75.3889416218232,76.75352276945,78.4063990027285,79.8005428090995,84.1679768824481,85.0157729115482,NA
Honduras,1.415281931,2.597402597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.1,29.5,31.7,NA
Hungary,14.5285543,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,75.65319745,72.8347,79.25941213,76.75054712,76.07436064
IBRD only,2.68469660366317,4.48906319030806,5.76577949203729,7.37519266651484,8.68153193553042,10.5163447920022,13.7361407354392,16.9538700580526,20.297543929255,24.8287165674382,28.3173627656228,32.1011392231411,35.1665797578245,38.8634974345904,40.0222468427965,43.9136195677463,50.1651895348077,NA
Iceland,49.39299537,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,98.2400163,98.26,99.01095399
IDA & IBRD total,2.19086677852588,3.67080864141242,4.78432811120994,6.12462396885972,7.24552774270699,8.87051044719437,11.4587830752934,14.1009475792534,16.8344489830493,20.5702223435756,23.404839212978,26.5899827740124,29.2759527232875,32.7205043084618,34.6913960629798,37.5202086973928,43.3232872723835,NA
IDA blend,0.733391440805301,1.44605399539185,2.78223656695343,3.59100472523949,4.54806692858069,5.61748874372234,6.38589231418726,7.13305225319925,8.12249605461371,9.55941529876918,11.2271929152578,13.170061841368,15.3821615734318,17.7257316470164,24.6029457695267,20.8029340783076,28.3600644649895,NA
IDA only,0.212510357184461,0.353010527199046,0.534046912208482,0.771308665400127,1.05392257166571,1.5149528678494,2.42351204353825,2.7357380534615,3.40696313792616,4.90311947202785,5.60130096475996,6.85464578433617,8.47810846397285,11.6631815722401,15.2322266355335,16.9356725444454,20.246852535979,NA
IDA total,0.388529393951763,0.722849610627657,1.29125916350415,1.72026409357783,2.23432697211877,2.95725477954465,3.7598434379851,4.26812003215488,5.05124597578261,6.50087420359764,7.51637742693399,9.00652948413459,10.8161450445626,13.7179042905736,18.4100260992096,18.2476082531658,22.9964303114986,NA
India,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,21,17,22,34.45,NA
Indonesia,2.018613859,2.134135733,2.38701978,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,21.97606771,25.4473537,32.2924419,39.78748305
Iran, Islamic Rep.,1.484221332,4.626175115,6.933721953,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,45.33497588,53.22677167,64.04397362,70.00455222
